บริษัท ,รหัสสินค้า, TotalCost ,Qty,รวมจำนวนเงิน
THSITH,305802 C-2Z-SKF/ลูกปืนแคม, 790.13 ,10 ," 7,901.30 "
THSITH,305804 C-2Z-SKF/ลูกปืนแคม, 899.04 ,21 ," 18,879.84 "
THSITH,307-SKF/BEARINGS, 575.61 ,2 ," 1,151.22 "
THSITH,30X36X5 SC-SOG/OIL SEAL, 14.00 ,2 , 28.00 
THSITH,30X37X4 KB-NOK/OIL SEAL, 11.50 ,6 , 69.00 
THSITH,30X37X8 VC-AMD/OIL SEAL, 22.50 ,3 , 67.50 
THSITH,30X38X5 TC-HOF/OIL SEAL, 17.00 ,1 , 17.00 
THSITH,30X40X5 TC-SOG/OIL SEAL, 14.00 ,1 , 14.00 
THSITH,30X40X7 HMSA10 RG-SKF/692349 OIL SEAL, 13.59 ,14 , 190.26 
THSITH,30X42X5 TC-SOG/OIL SEAL, 17.00 ,1 , 17.00 
THSITH,30X42X7 HMSA10 RG-SKF/692353 OIL SEAL, 13.59 ,10 , 135.90 
THSITH,30X42X8 HMSA10 RG-SKF/563224 OIL SEAL, 13.59 ,19 , 258.21 
THSITH,30X43X7 TC-SOG/OIL SEAL, 17.00 ,6 , 102.00 
THSITH,30X44X7 HMSA10 RG-SKF/692357 OIL SEAL, 13.59 ,10 , 135.90 
THSITH,30X44X7 TC-SOG/OIL SEAL, 18.00 ,1 , 18.00 
