บริษัท ,รหัสสินค้า, TotalCost ,Qty,รวมจำนวนเงิน
THSITH,38X50X8 TB-SOG/OIL SEAL, 29.00 ,1 , 29.00 
THSITH,38X52X7 HMSA10 RG-SKF/692449 OIL SEAL, 25.56 ,3 , 76.68 
THSITH,38X52X7 HMSA10 V/692450 OIL SEAL VITON, 106.75 ,3 , 320.25 
THSITH,38X54X10 HMSA10 RG-SKF/563292 OIL SEAL, 35.50 ,9 , 319.50 
THSITH,38X54X10 TC-SOG/OIL SEAL, 24.00 ,3 , 72.00 
THSITH,38X55X10 TC-SOG/OIL SEAL, 24.00 ,31 , 744.00 
THSITH,38X55X7 HMSA10 RG-SKF/692453 OIL SEAL, 30.53 ,6 , 183.18 
THSITH,38X55X7 HMSA10 V/692454 OIL SEAL VITON, 123.00 ,3 , 369.00 
THSITH,38X55X9 TC-NOK/OIL SEAL, 40.00 ,8 , 320.00 
THSITH,38X56X12 TC-SOG/OIL SEAL, 22.00 ,1 , 22.00 
THSITH,38X57X9 TC-SOG/OIL SEAL, 23.00 ,5 , 115.00 
THSITH,38X58X8 HMSA10 RG-SKF/563996 OIL SEAL, 22.01 ,9 , 198.09 
THSITH,38X60X10 HMSA10 RG-SKF/563521 OIL SEAL, 27.85 ,13 , 362.05 
THSITH,38X62X10 HMSA10 RG-SKF/563110 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,38X62X10 TC-SOG/OIL SEAL, 23.25 ,4 , 93.00 
THSITH,38X62X7 HMSA10 RG-SKF/562597 OIL SEAL, 41.50 ,4 , 166.00 
THSITH,38X62X7 TC-SOG/OIL SEAL, 28.00 ,4 , 112.00 
THSITH,38X62X8 HMSA10 RG-SKF/564020 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,38X65X8 TC-SOG/OIL SEAL, 25.50 ,4 , 102.00 
THSITH,38X72X10 TC-AMD/OIL SEAL, 38.25 ,2 , 76.50 
THSITH,39412-TIMKEN/BEARINGS (CUP), 811.57 ,1 , 811.57 
THSITH,3984-TIMKEN/BEARINGS/CONE, 984.20 ,2 ," 1,968.40 "
THSITH,3PJ290-MEGADYNE/Poly-v ribbed belts/นิ้ว, 187.00 ,10 ," 1,870.00 "
THSITH,3V 280-BANDO/สายพาน, 91.00 ,1 , 91.00 
THSITH,3V 450-MITSUBOSHI/BELT, 6.00 ,130 , 780.00 
THSITH,"4.1/4""X5.1/2""X7/16"" CRWH1-CR/42528 OIL SEAL", 229.50 ,10 ," 2,295.00 "
THSITH,"4.25X5.25X0.5 TB-AMD/OIL SEAL4.1/4X5.1/4X1/2""", 123.68 ,10 ," 1,236.80 "
THSITH,"4.3/4""X6""X27.00-CR/47690 OIL SEAL SCOTPLS R", 678.60 ,10 ," 6,786.00 "
THSITH,4.500-5.500-0.500.TB2-NOK/OIL SEAL, 190.00 ,5 , 950.00 
THSITH,4.767X6.308X1.420-CR/47692 PLUS XL H SCOTSEAL, 747.00 ,4 ," 2,988.00 "
THSITH,40-2 C/L-FENNER/ข้อต่อโซ่เต็มข้อ/สองชั้น(ANSI), 19.00 ,4 , 76.00 
THSITH,40-2 O/L-FENNER/ข้อต่อโซ่ครึ่งข้อ/สองชั้น(ANS), 52.00 ,9 , 468.00 
THSITH,40-2-FENNER/ROLLER CHAINS(ANSI)," 1,117.80 ",2 ," 2,235.60 "
THSITH,40X50X8 HMSA10 RG-SKF/563420 OIL SEAL, 19.81 ,10 , 198.10 
THSITH,40X52X10 TC-SOG/OIL SEAL, 20.00 ,2 , 40.00 
THSITH,40X52X7 HMSA10 RG-SKF/692461 OIL SEAL, 17.54 ,20 , 350.80 
THSITH,40X52X7 HMSA10 V/692462 OIL SEAL VITON, 75.34 ,10 , 753.40 
THSITH,40X52X7 TB-SOG/OIL SEAL, 23.00 ,8 , 184.00 
THSITH,40X52X8 HMSA10 RG-SKF/OIL SEAL, 17.54 ,20 , 350.80 
THSITH,40X52X8 SB-SOG/OIL SEAL ขอบเหล็ก, 23.00 ,16 , 368.00 
THSITH,40X53X7 TC-SOG/OIL SEAL, 20.00 ,2 , 40.00 
THSITH,40X54X10 TC-TORA/OIL SEAL, 12.35 ,4 , 49.40 
THSITH,40X54X7 TC-SOG/OIL SEAL, 21.00 ,1 , 21.00 
THSITH,40X55X7 HMSA10 RG-SKF/692465 OIL SEAL, 17.54 ,14 , 245.56 
THSITH,40X55X7 TC-SOG/OIL SEAL, 21.00 ,1 , 21.00 
THSITH,40X55X8 HMSA10 RG-SKF/692469 OIL SEAL, 35.50 ,7 , 248.50 
THSITH,40X56X10 TC-SOG/OIL SEAL, 25.00 ,10 , 250.00 
THSITH,40X56X8 HMSA10 RG-SKF/562582 OIL SEAL, 38.34 ,4 , 153.36 
THSITH,40X57X4.5 SC-SOG/OIL SEAL, 22.00 ,3 , 66.00 
THSITH,40X57X7 TC-SOG/OIL SEAL, 22.00 ,4 , 88.00 
THSITH,40X58X7 HMSA10 V/562867 OIL SEAL VITON, 161.50 ,6 , 969.00 
THSITH,40X58X8 HMSA10 RG-SKF/562949 OIL SEAL, 21.30 ,1 , 21.30 
THSITH,40X58X8 HMSA10 V/562951 OIL SEAL VITON, 106.75 ,4 , 427.00 
THSITH,40X58X8 TC-SOG/OIL SEAL, 23.00 ,1 , 23.00 
THSITH,40X60X10 HMSA10 RG-SKF/692477 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,40X60X12 TC-SOG/OIL SEAL, 25.00 ,1 , 25.00 
THSITH,40X60X5 TC-SOG/OIL SEAL, 23.00 ,4 , 92.00 
THSITH,40X62X10 HMSA10 RG-SKF/692485 OIL SEAL, 21.90 ,20 , 438.00 
THSITH,40X62X10 HMSA10 V/692486 OIL SEAL VITON, 79.04 ,10 , 790.40 
THSITH,40X62X11 TC-SOG/OIL SEAL, 25.00 ,1 , 25.00 
THSITH,40X62X8 HMSA10 RG-SKF/563930 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,40X62X8 HMSA10 V/563932 OIL SEAL VITON, 79.04 ,10 , 790.40 
THSITH,40X65X10 HMS4R-CR/15852 OIL SEAL, 44.00 ,27 ," 1,188.00 "
THSITH,40X65X12 HMSA10 RG-SKF/563565 OIL SEAL, 24.80 ,3 , 74.40 
THSITH,40X65X8 TC-SOG/OIL SEAL, 25.00 ,2 , 50.00 
THSITH,40X67X10 TC-SOG/OIL SEAL, 27.00 ,3 , 81.00 
THSITH,40X68X10 HMSA10 RG-SKF/563174 OIL SEAL, 22.50 ,5 , 112.50 
THSITH,40X68X8 HMSA10 RG-SKF/562693 OIL SEAL, 37.50 ,1 , 37.50 
THSITH,40X70X12 TC-SOG/OIL SEAL, 30.00 ,1 , 30.00 
THSITH,40X70X8 CRW1R-CR/15855 OIL SEAL CRW1 R, 57.00 ,6 , 342.00 
THSITH,40X72X10 HMSA10 RG-SKF/564113 OIL SEAL, 25.39 ,14 , 355.46 
THSITH,40X72X4 TC-HOF/OIL SEAL, 32.00 ,4 , 128.00 
THSITH,40X72X7 HMSA10 RG-SKF/562833 OIL SEAL, 24.44 ,22 , 537.68 
THSITH,40X72X7 TC-SOG/OIL SEAL, 30.00 ,3 , 90.00 
THSITH,40X72X7 TCV-NAK/Oil seal Viton, 182.00 ,2 , 364.00 
THSITH,40X80X10 HMSA10 RG-SKF/562737 OIL SEAL, 30.88 ,20 , 617.60 
THSITH,40X80X10 TC-SOG/Oil Seal, 32.83 ,24 , 787.92 
THSITH,40X80X10 TVC-NAK/OIL SEAL VITON, 180.00 ,1 , 180.00 
THSITH,40X80X12 HMSA10 RG-SKF/563058 OIL SEAL, 41.40 ,9 , 372.60 
THSITH,40X80X12 TC-SOG/OIL SEAL, 39.00 ,5 , 195.00 
THSITH,40X85X10 TC-SOG/OIL SEAL NBR, 35.00 ,2 , 70.00 
THSITH,4207 ATN9-SKF/BEARINGS, 882.32 ,2 ," 1,764.64 "
THSITH,4210 ATN9-SKF/BEARINGS," 1,111.75 ",3 ," 3,335.25 "
THSITH,4212 ATN9-SKF/BEARINGS," 2,155.77 ",3 ," 6,467.31 "
THSITH,4214 ATN9-SKF/BEARINGS," 2,785.53 ",2 ," 5,571.06 "
THSITH,425 5M-A 030-OPTIBELT/TIMING BELT / หน้ากว้าง 30 มิล, 452.97 ,7 ," 3,170.79 "
THSITH,42X52X5 TC-SOG/OIL SEAL, 16.00 ,4 , 64.00 
THSITH,42X55X7 HMSA10 RG-SKF/692493 OIL SEAL, 17.54 ,20 , 350.80 
THSITH,42X55X7 SC-SOG/OIL SEAL, 22.17 ,1 , 22.17 
THSITH,42X55X8 HMSA10 RG-SKF/563126 OIL SEAL, 17.54 ,20 , 350.80 
THSITH,42X55X8 HMSA10 V/563128 OIL SEAL VITON, 79.30 ,6 , 475.80 
THSITH,42X55X8 TC-SOG/OIL SEAL, 20.00 ,1 , 20.00 
THSITH,42X56X7 HMSA10 RG-SKF/563296 OIL SEAL, 22.00 ,3 , 66.00 
THSITH,42X58X8 TC-AMD/OIL SEAL, 30.00 ,3 , 90.00 
THSITH,42X60X7 HMSA10 RG-SKF/692497 OIL SEAL, 25.95 ,15 , 389.25 
THSITH,42X60X7 TB-SOG/OIL SEAL, 26.00 ,9 , 234.00 
THSITH,42X62X8 HMS4R-CR/16521 OIL SEAL, 55.00 ,1 , 55.00 
THSITH,42X62X8 HMSA10 RG-SKF/564117 OIL SEAL, 41.50 ,3 , 124.50 
THSITH,42X65X10 HMSA10 RG-SKF/563557 OIL SEAL, 25.00 ,1 , 25.00 
THSITH,42X65X12 TC-SOG/OIL SEAL, 26.00 ,3 , 78.00 
THSITH,42X68X10 TC-AMD/OIL SEAL, 22.50 ,8 , 180.00 
THSITH,42X72X10 HMSA10 RG-SKF/563484 OIL SEAL, 30.10 ,9 , 270.90 
THSITH,42X72X10 TC-SOG/OIL SEAL, 30.00 ,5 , 150.00 
THSITH,42X72X8 HMSA10 RG-SKF/563122 OIL SEAL, 36.40 ,1 , 36.40 
THSITH,42X72X8 HMSA10 V/563124 OIL SEAL VITON, 140.00 ,8 ," 1,120.00 "
THSITH,42X75X10 TC-TORA/OIL SEAL, 15.20 ,1 , 15.20 
THSITH,4304 ATN9-SKF/BEARINGS, 693.02 ,10 ," 6,930.20 "
THSITH,4306 ATN9-SKF/BEARINGS," 1,033.17 ",9 ," 9,298.53 "
THSITH,4308 ATN9-SKF/BEARINGS," 1,447.39 ",3 ," 4,342.17 "
THSITH,4312 ATN9-SKF/BEARINGS," 5,781.78 ",1 ," 5,781.78 "
THSITH,44.45X63.5X9.53 TC-SOG/OIL SEAL, 30.00 ,5 , 150.00 
THSITH,44X62X7 TC-SOG/OIL SEAL, 26.00 ,1 , 26.00 
THSITH,44X65X10 HMSA10 RG-SKF/563773 OIL SEAL, 28.75 ,12 , 345.00 
THSITH,44X68X8 TC-AMD/OIL SEAL, 41.25 ,1 , 41.25 
THSITH,44X72X10 TC-AMD/OIL SEAL, 45.00 ,5 , 225.00 
THSITH,45X100X10 TC-SOG/OIL SEAL, 49.00 ,2 , 98.00 
THSITH,45X55X10 SC-AMD/OIL SEAL, 24.75 ,1 , 24.75 
THSITH,45X55X7 TC-HOF/OIL SEAL, 22.00 ,2 , 44.00 
THSITH,45X55X7 TC-SOG/OIL SEAL, 20.00 ,2 , 40.00 
THSITH,45X57X7 TC-SOG/OIL SEAL, 23.00 ,3 , 69.00 
THSITH,45X58X7 HMSA10 RG-SKF/562998 OIL SEAL, 24.85 ,7 , 173.95 
THSITH,45X58X9 TC-AMD/OIL SEAL, 31.50 ,7 , 220.50 
THSITH,45X60X10 HMSA10 RG-SKF/562986 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,45X60X10 HMSA10 V/562988 OIL SEAL VITON, 106.00 ,2 , 212.00 
THSITH,45X60X12 TC-SOG/OIL SEAL, 22.00 ,3 , 66.00 
THSITH,45X60X7 HMSA10 RG-SKF/564121 OIL SEAL, 17.54 ,20 , 350.80 
THSITH,45X60X8 HMSA10 V/564127 OIL SEAL VITON, 80.35 ,11 , 883.85 
THSITH,45X60X8 TB-SOG/OIL SEAL, 26.00 ,2 , 52.00 
THSITH,45X60X8 TC-SOG/OIL SEAL, 23.00 ,1 , 23.00 
THSITH,45X60X9 TC-SOG/OIL SEAL, 23.00 ,1 , 23.00 
THSITH,45X62X10 HMSA10 RG-SKF/564129 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,45X62X7 HMSA10 RG-SKF/562713 OIL SEAL, 18.53 ,19 , 352.07 
THSITH,45X62X8 HMSA10 RG-SKF/692501 OIL SEAL, 40.50 ,6 , 243.00 
THSITH,45X62X8 HMSA10 V/692502 OIL SEAL VITON, 79.04 ,10 , 790.40 
THSITH,45X65X10 HMSA10 RG-SKF/692509 OIL SEAL, 18.53 ,30 , 555.90 
THSITH,45X65X8 HMSA10 RG-SKF/692505 OIL SEAL, 18.53 ,16 , 296.48 
THSITH,45X68X12 HMSA10 RG-SKF/563488 OIL SEAL, 18.53 ,14 , 259.42 
THSITH,45X68X12 HMSA10 V/563490 OIL SEAL VITON, 112.00 ,1 , 112.00 
THSITH,45X68X12 TC-SOG/OIL SEAL, 27.00 ,2 , 54.00 
THSITH,45X68X7 HMSA10 RG-SKF/562625 OIL SEAL, 37.50 ,6 , 225.00 
THSITH,45X70X12 TC-SOG/OIL SEAL, 28.00 ,4 , 112.00 
THSITH,45X72X10 HMSA10 RG-SKF/564133 OIL SEAL, 22.48 ,20 , 449.60 
THSITH,45X72X8 HMSA10 RG-SKF/692513 OIL SEAL, 26.57 ,9 , 239.13 
THSITH,45X72X8 HMSA10 V/692514 OIL SEAL VITON, 98.80 ,10 , 988.00 
THSITH,45X75X10 HMSA10 RG-SKF/692521 OIL SEAL, 25.68 ,10 , 256.80 
THSITH,45X75X8 HMSA10 RG-SKF/692517 OIL SEAL, 22.48 ,20 , 449.60 
THSITH,45X75X8 TC-SOG/OIL SEAL, 30.00 ,1 , 30.00 
THSITH,45X75X8 TCV-SOG/OIL SEAL VITON, 235.60 ,1 , 235.60 
THSITH,45X78X12 TC-SOG/OIL SEAL, 32.00 ,1 , 32.00 
THSITH,45X80X10 HMSA10 RG-SKF/564137 OIL SEAL, 30.88 ,20 , 617.60 
THSITH,45X80X6 TC-HOF/OIL SEAL, 35.25 ,20 , 705.00 
THSITH,45X80X8 CRW1R-CR/17791 OIL SEAL, 60.50 ,7 , 423.50 
THSITH,45X80X8 TC-NOK/OIL SEAL, 30.74 ,3 , 92.22 
THSITH,46X65X10 HMSA10 RG-SKF/563962 OIL SEAL, 37.50 ,2 , 75.00 
THSITH,46X72X7 TC-SOG/OIL SEAL, 31.00 ,3 , 93.00 
THSITH,47.63X66.68X9.53 TB-SOG/OIL SEAL, 39.00 ,8 , 312.00 
THSITH,47X65X10 HMSA10 RG-SKF/563737 OIL SEAL, 23.25 ,1 , 23.25 
THSITH,47X72X8 TC-SOG/OIL SEAL NBR, 45.00 ,10 , 450.00 
THSITH,48X60X8 TC-SOG/OIL SEAL, 25.00 ,5 , 125.00 
THSITH,48X62X8 HMSA10 RG-SKF/692525 OIL SEAL, 18.53 ,19 , 352.07 
THSITH,48X62X8 SC-SOG/Oil Seal, 25.00 ,1 , 25.00 
THSITH,48X65X10 HMS4R-CR/18967 OIL SEAL, 44.00 ,9 , 396.00 
THSITH,48X65X10 HMSA10 RG-SKF/692529 OIL SEAL, 37.50 ,7 , 262.50 
THSITH,48X65X9 TC-SOG/OIL SEAL, 31.00 ,2 , 62.00 
THSITH,48X68X10 HMSA10 RG-SKF/563178 OIL SEAL, 28.77 ,11 , 316.47 
THSITH,48X70X10 HMSA10 RG-SKF/563284 OIL SEAL, 34.96 ,3 , 104.88 
THSITH,48X70X10 HMSA10 V/563286 OIL SEAL VITON, 136.50 ,8 ," 1,092.00 "
THSITH,48X70X12 TC-SOG/OIL SEAL, 28.00 ,1 , 28.00 
THSITH,48X72X10 HMSA10 RG-SKF/563102 OIL SEAL, 30.10 ,6 , 180.60 
THSITH,48X80X10 TC-TORA/OIL SEAL, 16.15 ,4 , 64.60 
THSITH,48X80X12 TC-SOG/OIL SEAL, 32.00 ,3 , 96.00 
THSITH,48X82X12 TB2-NOK/OIL SEAL ขอบเหล็ก, 33.74 ,5 , 168.70 
THSITH,48X90X10 TC-SOG/OIL SEAL, 39.00 ,2 , 78.00 
THSITH,"5""X6""X1/2""CRWH1R-CR/49928 OIL SEAL(NATIONAL 415725)", 287.10 ,5 ," 1,435.50 "
THSITH,"5.1/2""X6.3/4""X1/2"" CRWA1 R-CR/54960 OIL SEAL", 435.50 ,1 , 435.50 
THSITH,"5.1/4""X6.1/2""X1/2""CRWH1R-CR/52488 OIL SEAL", 315.00 ,10 ," 3,150.00 "
THSITH,"5/8""X1""X1/4""CRWA1R-CR/6141 OIL SEAL", 29.57 ,23 , 680.11 
THSITH,"5/8""X1.31/64""X1/4""-NATIONAL/471564 OIL SEAL", 85.50 ,2 , 171.00 
THSITH,"50-1 D1X10FT-FENNER/Roller Chain พินยื่นข้างเดียว,ข้อเว้นข้อ"," 2,160.00 ",4 ," 8,640.00 "
THSITH,"50-1 D3X10FT-FENNER/Roller Chain แบบพินยื่นข้างเดียว,ทุกข้อ"," 2,500.00 ",5 ," 12,500.00 "
THSITH,50-2-FENNER/ROLLER CHAINS(ANSI)," 1,707.30 ",2 ," 3,414.60 "
THSITH,50X100X12 TC-AMD/OIL SEAL, 63.75 ,1 , 63.75 
THSITH,50X62X7 HMSA10 RG-SKF/692533 OIL SEAL, 18.53 ,25 , 463.25 
THSITH,50X62X7 HMSA10 V/692534 OIL SEAL VITON, 121.00 ,1 , 121.00 
THSITH,50X65X10 HMSA10 RG-SKF/563336 OIL SEAL, 21.82 ,24 , 523.68 
THSITH,50X65X8 HMSA10 V/692538 OIL SEAL VITON, 79.04 ,8 , 632.32 
THSITH,50X67X7 TC-SOG/OIL SEAL, 27.00 ,1 , 27.00 
THSITH,50X68X10 HMSA10 RG-SKF/564141 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,50X68X10 TC-SOG/OIL SEAL, 28.00 ,3 , 84.00 
THSITH,50X68X10 TCV-SOG/OIL SEAL VITON, 160.00 ,1 , 160.00 
THSITH,50X68X12 TC-SOG/OIL SEAL, 27.00 ,2 , 54.00 
THSITH,50X68X8 HMSA10 RG-SKF/562797 OIL SEAL, 18.53 ,20 , 370.60 
THSITH,50X68X8 HMSA10 V/562799 OIL SEAL VITON, 79.04 ,10 , 790.40 
THSITH,50X70X10 HMSA10 RG-SKF/564145 OIL SEAL, 26.86 ,20 , 537.20 
THSITH,50X70X10 HMSA10 V/564147 OIL SEAL VITON, 106.93 ,6 , 641.58 
THSITH,50X70X10 TCV-SOG/OIL SEAL VITON, 168.00 ,2 , 336.00 
THSITH,50X72X10 HMSA10 RG-SKF/692545 OIL SEAL, 22.48 ,18 , 404.64 
THSITH,50X72X10 HMSA10 V/692546 OIL SEAL VITON, 98.80 ,15 ," 1,482.00 "
THSITH,50X72X12 HMSA10 RG-SKF/563078 OIL SEAL, 22.48 ,20 , 449.60 
THSITH,50X72X12 HMSA10 V/563080 OIL SEAL VITON, 98.80 ,19 ," 1,877.20 "
THSITH,50X72X8 HMSA10 RG-SKF/692541 OIL SEAL, 34.09 ,6 , 204.54 
THSITH,50X72X8 HMSA10 V/692542 OIL SEAL VITON, 104.00 ,2 , 208.00 
THSITH,50X72X8 TCV-SOG/OIL SEAL VITON, 182.00 ,3 , 546.00 
THSITH,50X72X9 TC-SOG/OIL SEAL, 31.00 ,1 , 31.00 
THSITH,50X75X10 HMSA10 RG-SKF/563210 OIL SEAL, 22.48 ,20 , 449.60 
THSITH,50X75X10 HMSA10 V/563212 OIL SEAL VITON, 98.80 ,4 , 395.20 
THSITH,50X76X12 TC-SOG/OIL SEAL, 32.00 ,2 , 64.00 
THSITH,50X80X10 HMSA10 RG-SKF/692553 OIL SEAL, 30.88 ,18 , 555.84 
THSITH,50X80X10 HMSA10 V/692554 OIL SEAL VITON, 135.85 ,10 ," 1,358.50 "
THSITH,50X80X13 TC-SOG/OIL SEAL, 32.00 ,3 , 96.00 
THSITH,50X80X8 HMSA10 RG-SKF/692549 OIL SEAL, 37.50 ,3 , 112.50 
THSITH,50X80X8 HMSA10 V/692550 OIL SEAL VITON, 135.85 ,9 ," 1,222.65 "
THSITH,50X82X12 TC-SOG/OIL SEAL, 34.00 ,2 , 68.00 
THSITH,50X85X10 HMSA10 RG-SKF/563054 OIL SEAL, 43.75 ,1 , 43.75 
THSITH,50X90X10 HMSA10 RG-SKF/562873 OIL SEAL, 42.75 ,12 , 513.00 
THSITH,50X90X10 TB-SOG/OIL SEAL, 47.00 ,1 , 47.00 
THSITH,51100-SKF/BEARINGS, 170.82 ,136 ," 23,231.52 "
THSITH,51102-SKF/BEARINGS, 169.57 ,2 , 339.14 
THSITH,51103-SKF/BEARINGS, 173.60 ,6 ," 1,041.60 "
THSITH,51104-SKF/BEARINGS, 175.47 ,5 , 877.35 
THSITH,51105-SKF/BEARINGS, 184.64 ,15 ," 2,769.60 "
THSITH,51106-NTN/BEARINGS, 150.00 ,168 ," 25,200.00 "
THSITH,51106-SKF/BEARINGS, 204.61 ,6 ," 1,227.66 "
THSITH,51107-SKF/BEARINGS, 226.77 ,20 ," 4,535.40 "
THSITH,51109-SKF/BEARINGS, 330.32 ,3 , 990.96 
THSITH,51110-SKF/BEARINGS, 387.39 ,10 ," 3,873.90 "
THSITH,51111-NTN/BEARINGS, 288.00 ,2 , 576.00 
THSITH,51112-SKF/BEARINGS, 609.11 ,3 ," 1,827.33 "
THSITH,51113-SKF/BEARINGS, 659.75 ,2 ," 1,319.50 "
THSITH,51115-SKF/BEARINGS, 872.90 ,10 ," 8,729.00 "
THSITH,51124-SKF/BEARINGS," 3,107.94 ",7 ," 21,755.58 "
THSITH,51132 F-SKF/BEARINGS," 3,812.28 ",1 ," 3,812.28 "
THSITH,51136 M-SKF/BEARINGS," 10,313.30 ",2 ," 20,626.60 "
THSITH,51138 M-URB/BEARINGS," 4,500.00 ",1 ," 4,500.00 "
THSITH,51202-SKF/BEARINGS, 286.31 ,6 ," 1,717.86 "
THSITH,51204-SKF/BEARINGS, 303.86 ,13 ," 3,950.18 "
THSITH,51205-SKF/BEARINGS, 325.90 ,4 ," 1,303.60 "
THSITH,51206-SKF/BEARINGS, 389.05 ,20 ," 7,781.00 "
THSITH,51207-SKF/BEARINGS, 462.67 ,8 ," 3,701.36 "
THSITH,51208-SKF/BEARINGS, 528.74 ,8 ," 4,229.92 "
THSITH,51211-SKF/BEARINGS, 935.02 ,3 ," 2,805.06 "
THSITH,51212-SKF/BEARINGS," 1,086.36 ",3 ," 3,259.08 "
THSITH,51213-SKF/BEARINGS," 1,171.13 ",2 ," 2,342.26 "
THSITH,51215-SKF/BEARINGS," 1,317.74 ",2 ," 2,635.48 "
THSITH,51218-SKF/BEARINGS," 2,404.68 ",3 ," 7,214.04 "
THSITH,51222-SKF/BEARINGS," 3,882.25 ",1 ," 3,882.25 "
THSITH,51228-SKF/BEARINGS," 10,138.00 ",1 ," 10,138.00 "
THSITH,51305-SKF/BEARINGS, 494.00 ,5 ," 2,470.00 "
THSITH,51306-SKF/BEARINGS, 563.78 ,3 ," 1,691.34 "
THSITH,51315-SKF/BEARINGS," 3,891.09 ",4 ," 15,564.36 "
THSITH,51316-SKF/BEARINGS," 4,757.93 ",1 ," 4,757.93 "
THSITH,51320-SKF/BEARINGS," 7,570.50 ",1 ," 7,570.50 "
THSITH,51409-SKF/BEARINGS," 1,795.41 ",1 ," 1,795.41 "
THSITH,51410-SKF/BEARINGS," 2,518.74 ",1 ," 2,518.74 "
THSITH,51414 M-SKF/BEARINGS," 10,515.57 ",1 ," 10,515.57 "
THSITH,5203 A-2RS1TN9-SKF/BEARINGS, 628.92 ,3 ," 1,886.76 "
THSITH,529X-TIMKEN/BEARINGS/CONE," 1,233.00 ",3 ," 3,699.00 "
THSITH,52X62X8 TC-SOG/OIL SEAL, 25.00 ,7 , 175.00 
THSITH,52X65X8 HMSA10 RG-SKF/563573 OIL SEAL, 28.65 ,13 , 372.45 
THSITH,52X68X8 HMSA10 RG-SKF/562937 OIL SEAL, 26.25 ,6 , 157.50 
THSITH,52X68X8 SC-SOG/OIL SEAL, 30.00 ,1 , 30.00 
THSITH,52X70X9 TC-HOF/OIL SEAL, 27.00 ,1 , 27.00 
THSITH,52X70X9 TC-SOG/OIL SEAL, 27.00 ,1 , 27.00 
THSITH,52X72X10 HMSA10 RG-SKF/692561 OIL SEAL, 22.48 ,20 , 449.60 
THSITH,52X72X8 HMSA10 RG-SKF/692557 OIL SEAL, 28.98 ,7 , 202.86 
THSITH,52X72X8 HMSA10 V/692558 OIL SEAL VITON, 234.50 ,6 ," 1,407.00 "
THSITH,52X75X12 TC-SOG/OIL SEAL, 32.00 ,9 , 288.00 
THSITH,52X80X10 HMSA10 RG-SKF/563428 OIL SEAL, 62.50 ,6 , 375.00 
THSITH,52X85X10 HMSA10 RG-SKF/563248 OIL SEAL, 48.00 ,4 , 192.00 
THSITH,52X85X10 TC-SOG/OIL SEAL, 64.00 ,2 , 128.00 
THSITH,5308 ZZ-NACHI/BAERINGS, 902.50 ,1 , 902.50 
THSITH,53220-SKF/BEARINGS," 3,790.60 ",1 ," 3,790.60 "
THSITH,53313-SKF/BEARINGS," 3,593.10 ",2 ," 7,186.20 "
THSITH,540 H 100-OPTIBELT/TIMING BELTS หน้ากว้าง 25.40 มิล, 476.71 ,4 ," 1,906.84 "
THSITH,54X75X8 TC-SOG/OIL SEAL, 32.00 ,2 , 64.00 
THSITH,54X80X10 BABSL-SOG/OIL SEAL, 59.00 ,1 , 59.00 
THSITH,54X80X10 TC-SOG/OIL SEAL, 32.00 ,2 , 64.00 
THSITH,55175 C-TIMKEN/BEARINGS/CONE," 1,392.70 ",1 ," 1,392.70 "
THSITH,55X110X13 TC-HOF/OIL SEAL, 69.00 ,7 , 483.00 
THSITH,55X68X8 HMSA10 RG-SKF/562933 OIL SEAL, 20.02 ,16 , 320.32 
THSITH,55X68X8 SC-SOG/OIL SEAL, 30.00 ,1 , 30.00 
THSITH,55X70X10 HMSA10 V/563699 OIL SEAL VITON, 199.00 ,2 , 398.00 
THSITH,55X70X12 TCV-SOG/OIL SEAL VITON, 133.00 ,2 , 266.00 
THSITH,55X70X8 HMSA10 RG-SKF/692565 OIL SEAL, 22.72 ,4 , 90.88 
THSITH,55X70X8 HMSA10 V/692566 OIL SEAL VITON, 103.22 ,3 , 309.66 
THSITH,55X72X10 HMSA10 RG-SKF/692569 OIL SEAL, 24.97 ,18 , 449.46 
THSITH,55X72X10 HMSA10 V/692570 OIL SEAL VITON, 171.50 ,5 , 857.50 
THSITH,55X72X12 SC-SOG/OIL SEAL, 37.00 ,2 , 74.00 
THSITH,55X72X8 HMSA10 RG-SKF/564149 OIL SEAL, 22.48 ,18 , 404.64 
THSITH,55X75X10 HMSA10 RG-SKF/692573 OIL SEAL, 22.48 ,18 , 404.64 
THSITH,55X75X10 HMSA10 V/692574 OIL SEAL VITON, 98.80 ,10 , 988.00 
THSITH,55X78X10 HMSA10 RG-SKF/563761 OIL SEAL, 28.21 ,27 , 761.67 
THSITH,55X78X12 HMSA10 RG-SKF/563276 OIL SEAL, 24.57 ,16 , 393.12 
THSITH,55X78X12 HMSA10 V/563278 OIL SEAL VITON, 100.04 ,10 ," 1,000.40 "
THSITH,55X80X10 HMSA10 RG-SKF/562657 OIL SEAL, 30.88 ,20 , 617.60 
THSITH,55X80X10 HMSA10 V/562659 OIL SEAL VITON, 135.85 ,30 ," 4,075.50 "
THSITH,55X80X8 CRW1R-CR/21640 OIL SEAL, 60.80 ,5 , 304.00 
