Company,Product,Sum of Amount,Sum of Gross profit,Sum of Quantity,Sum of GP_pct
THSITH,UCF 211-32-SKF / Y/UC BEARINGS 2'',133187,24506.87,163,18.4%
THSITH,6311/C3-SKF / BEARINGS,133017,16660.31,164,12.5%
THSITH,32215-SKF / BEARINGS,132536,32982.16,84,24.9%
THSITH,21312 EK/C3-SKF / BEARINGS,132370,23389.24,35,17.7%
THSITH,LGFG 2/18-SKF / จารบีสำหรับอุตสาหกรรมอาหาร -30,132324,33299,5,25.2%
THSITH,TKBA 10-SKF / Belt Alignment tools (Laser สีแดง ระ,132020,16974,3,12.9%
THSITH,P4B-S2-315LE-DODGE / Pillow Block Roller Bearing,131000,43000,2,32.8%
THSITH,P4B-S2-315L-DODGE / Pillow Block Roller Bearing,131000,43000,2,32.8%
THSITH,3311 A-2Z/C3MT33-SKF / BEARINGS,130813,11648.83,31,8.9%
THSITH,3205 A-2RS1TN9/MT33-SKF / BEARINGS,130742.4,16582.02,129,12.7%
THSITH,KS 20 PP-INA / LINEAR BEARING,130568,35813.9,54,27.4%
THSITH,HMV 24 E-SKF / HYDRALIC NUT,130354,17861.2,3,13.7%
THSITH,23228 CC/W33-SKF / BEARINGS,129870,17738.8,7,13.7%
THSITH,TSN 522 L-SKF / SEAL,129380,17730.48,85,13.7%
THSITH,6201-2Z-SKF / BEARINGS,129277,23507.52,2035,18.2%
THSITH,6212-2RS1/C3-SKF / BEARINGS,128984,18390.04,162,14.3%
THSITH,22232 CCK/W33-SKF / BEARINGS,128868,25378.22,6,19.7%
THSITH,POS 16-THK / ลูกปืนข้อต่อ (เกลียวนอก ขวา),128469.6,20045.6,240,15.6%
THSITH,6001-2Z/C3-SKF / BEARINGS,128440,19136.4,1721,14.9%
THSITH,6307-2Z-SKF / BEARINGS,128077,17177.96,469,13.4%
THSITH,30320-SKF / BEARINGS,127518.28,10107.78,15,7.9%
THSITH,24060 CC/W33-SKF / BEARINGS,127306,26451.58,1,20.8%
THSITH,HK 2016-INA / BEARINGS,127224,32984,589,25.9%
THSITH,PHE F90FTBFLG-SKF / FLEX COUPLING FLANGE,127140,60525.09,26,47.6%
THSITH,7220 BECBM-SKF / BEARINGS,127033,15350.71,14,12.1%
THSITH,6318-2RS1/C3-SKF / BEARINGS,126858,10767.1,25,8.5%
THSITH,6334 M/C3-SKF / BEARINGS,126302,14033.42,2,11.1%
THSITH,F4BC 30M-CPSS-DFH-SKF / BLUE RANGE square,126262,17440.8,40,13.8%
THSITH,21315 E/C3-SKF / BEARINGS,126214,24384.37,22,19.3%
THSITH,BELT MEASUREMENT TOOL / Workshop Mac&To,126056,34024.96,1,27.0%
THSITH,61900-2Z-SKF / BEARINGS,125605,19759.28,800,15.7%
THSITH,KC 12018 B.85X22X5.4 MM. / CHAIN COUPLING,125600,31520,8,25.1%
THSITH,H 322-SKF / ADAPTER SLEEVES สลีฟล็อคเพลา,125425,21790.07,58,17.4%
THSITH,ALP280 MT5 / INSERT,125400,42699.8,80,34.1%
THSITH,8MGT-1000-21 MM-GATE / TIMING BELT POLY,125400,41790,30,33.3%
THSITH,6322/C3VL0241-SKF / INSULATED BEARINGS,125192,18299.22,4,14.6%
THSITH,6704 ZZ/25-NB / BEARINGS 20X25X4 M.M.,125040,93185.18,1042,74.5%
THSITH,FYJ 90 TF-SKF / Y-BEARINGS(UCF 218),124377.2,14723.26,22,11.8%
THSITH,626 H2RS-EZO / STAINLESS STEEL BALL BEARI,124374,61474,629,49.4%
THSITH,6204/VA 201-SKF / BEARINGS +250 ํC,123910,21322.82,214,17.2%
THSITH,6005-2RSH/C3-SKF / BEARINGS,123760,15592.77,1087,12.6%
THSITH,7310 BECBP-SKF / BEARINGS,123747,23891.13,59,19.3%
THSITH,6305-2Z-SKF / BEARINGS,123513.2,22879.6,769,18.5%
THSITH,TMAS 50/KIT-SKF / Machinery Shims,123500,22700,13,18.4%
THSITH,NNU 4932.C3-CPN / BEARINGS,123500,30500,10,24.7%
THSITH,6215-2Z/C3-SKF / BEARINGS,122694,19702.66,114,16.1%
THSITH,6219/C3VL0241-SKF / INSULATED BEARINGS,122464,17131.36,5,14.0%
THSITH,SNL 532-SKF / PLUMMER BLOCK,122176,9011.95,6,7.4%
THSITH,6307-2RS1-SKF / BEARINGS,121701.4,16844.61,385,13.8%
THSITH,6219/C3-SKF / BEARINGS,121357.8,19172.61,60,15.8%
THSITH,UCF 206-SKF / Y/UC BEARINGS 30 mm.,121216,22376.06,324,18.5%
THSITH,NU 324 ECM/C3-SKF / BEARINGS,121207,13026.91,5,10.7%
THSITH,NU 324 ECM-SKF / BEARINGS,121207,14252.31,5,11.8%
THSITH,SYJ 100 TF-SKF / Y-BEARINGS (UCP 220),120960,25694.49,18,21.2%
THSITH,PHG PT/C1 007-SKF / BELT TENSION PEN GAUG,119853,62024,29,51.8%
THSITH,608-2Z-SKF / BEARINGS,119469,18978.03,2106,15.9%
THSITH,TSN 517 L-SKF / DOUBLE-LIP SEALS,119284,25215.1,155,21.1%
THSITH,6320/C3VL0241-SKF / BEARINGS,119115,18963.88,4,15.9%
THSITH,6314 MA/C3-SKF / BEARINGS,118859,12210.46,21,10.3%
THSITH,22316 E-SKF / BEARINGS,118817,15963.18,17,13.4%
THSITH,UCP 208-24-SKF / Y/UC BEARINGS 1.1/2'',118451,21284.24,249,18.0%
THSITH,TXL 517-SKF / Seals for SNL housings,118174,37395.1,147,31.6%
THSITH,797-TIMKEN / BEARINGS (CONE),118150,37526.07,9,31.8%
THSITH,6014-2RS1-SKF / BEARINGS,118102,15274.85,119,12.9%
THSITH,F2BC 25M-CPSS-DFH-SKF / BLUE RANGE oval fla,117876,22341.18,47,19.0%
THSITH,LGFG 2/1-SKF / จารบีสำหรับอุตสาหกรรมอาหาร -30,117532,26561.16,68,22.6%
THSITH,32944 XL-FAG / BEARINGS,117480,37680,3,32.1%
THSITH,"YAR 205-100-2F-SKF / Y-BEARINGS (1"")",117478,23752.53,397,20.2%
THSITH,UCF 208-SKF / Y/UC BEARINGS 40 MM.,117345.75,19345.43,234,16.5%
THSITH,6313 M/C3-SKF / BEARINGS,117324,21344.1,21,18.2%
THSITH,H 315-SKF / ADAPTER SLEEVES,117202.4,14274.5,137,12.2%
THSITH,61902-2RS1-SKF / BEARINGS,117048.2,17012.59,538,14.5%
THSITH,H 2313-SKF / ADAPTER SLEEVES/60 M.M.,116563,20535.65,133,17.6%
THSITH,"MKU1-11BC11000+428 / GEAR PUMP UNIT 230V,",116400,40776,3,35.0%
THSITH,22219 EK-SKF / BEARINGS,115801,19982.34,28,17.3%
THSITH,NL 20 VUU-ASK / LINEAR/LM 20 LUU( 20X32X80,115542,33167.94,126,28.7%
THSITH,21318 E-SKF / BEARINGS,115438,12497.42,16,10.8%
THSITH,23026 CC/C3W33-SKF / BEARINGS,115296,13897.38,12,12.1%
THSITH,32317 J2-SKF / BEARINGS,115227,9069.52,18,7.9%
THSITH,W 61902-2RS1-SKF / ลูกปืนสแตนเลส,114853.92,11412.76,191,9.9%
THSITH,14MGT-1750-68-GATE / POLY CHAIN CARBON B,114000,26954,4,23.6%
THSITH,7310 BEGAY-SKF / BEARINGS,113832,18238.96,36,16.0%
THSITH,6315-2Z/C3-SKF / BEARINGS,113626,14599.31,49,12.8%
THSITH,TKST 11-SKF / ELECTRONIC SETHOSCOPE,113615,14658.92,4,12.9%
